,_unit_id,_golden,_trusted_judgments,violence,violence_confidence,violence_gold,protest,protest_confidence,protest_gold,id,text,created_at
0,1285876452,False,3,,0.0,,0,0.6667,,340810574529171000,RT @ekizilkaya: RT @mehmetbinay Another powerful pic from Istanbul. http://t.co/5Py6Av3qkv #OccupyGezi #occupyistanbul @sekermurat #Diren,Sat Jun 01 12:42:27 +0000 2013
1,1285876453,False,3,1.0,1.0,,1,1.0,,340712838953853000,"A Letter to the Rest of the World http://t.co/SSl5kSvEib #ireport 
340712865931616256,Sat Jun 01 06:14:12 +0000 2013,Saddened by what's happening in Turkey. Hearing from friends that some protestors may be fatally wounded. http://t.co/2rEvcb70eS
340712868125212673,Sat Jun 01 06:14:12 +0000 2013,RT @yaprush: This is what Turkey is up to at 6am on a Saturday. @BBCWorld @CNN @BarackObama @nytimes #direngeziparki #geziparki http://t.co
340712889914634240,Sat Jun 01 06:14:17 +0000 2013,""Watch Turkey v Latvia live streaming June 02, 2013 http://t.co/arulnisy5y",Sat Jun 01 06:14:05 +0000 2013
2,1285876454,False,3,,,,0,1.0,,340730727110939000,Fresh anti-government clashes hit Turkey - Europe - Al Jazeera English http://t.co/bKN9mUd0HK,Sat Jun 01 07:25:10 +0000 2013
3,1285876455,False,5,,,,0,1.0,,346087667177509000,ma_milsoni #russia#russian#jamaica#jamaican#ukraine#ukrainian#swedish#sweden#italy#venice#rome#france#paris#amsterdam#dubai#israel#turkey...,Sun Jun 16 02:11:44 +0000 2013
4,1285876456,False,3,,,,0,1.0,,346803250600767000,There's a #Turkey flag on #Pakistan 's note of rupees thousand,Tue Jun 18 01:35:12 +0000 2013
5,1285876457,False,3,,,,0,1.0,,341715297901883000,"RT @melissarfleming: Meanwhile, in #Turkey, there are now 400,000 Syrian refugees. 75% are women and kids. http://t.co/QGbt9CnCdp",Tue Jun 04 00:37:30 +0000 2013
6,1285876458,False,3,0.0,1.0,,1,1.0,,341166068213105000,RT @sneijder101010: My heart is with Turkish people who are defending their rights #occupygezi #direngeziparki #taksim #direnankara,Sun Jun 02 12:15:03 +0000 2013
7,1285876459,False,4,,,,0,1.0,,343227500446482000,"""As It Fights in #Syria, #Hezbollah Seen Unfavorably in Region"" http://t.co/eF7hhIx5cW @pewresearch #Lebanon #Turkey #Jordan",Sat Jun 08 04:46:27 +0000 2013
8,1285876460,False,3,,,,0,1.0,,340816781356696000,"RT @ClaireBerlinski: ""It is time for the international community to stop ignoring the disgrace and openly say the Sultan has no clothes. ",Sat Jun 01 13:07:07 +0000 2013
9,1285876461,False,3,,,,0,1.0,,341080707285783000,"RT @MahirZeynalov: RT @IvanCNN Judging how much beer being drunk in Taksim right now, think its safe to say crowd doesn't support alcohol s",Sun Jun 02 06:35:52 +0000 2013
10,1285876462,False,3,,,,0,1.0,,344528788492792000,RT @danabrams: .@RichardEngel delivering an amazing live report right now from demonstrations In Turkey on MSNBC,Tue Jun 11 18:57:18 +0000 2013
11,1285876463,False,6,0.0,0.6667,,1,1.0,,345265912741507000,"RT @iansomerhalder: holy cow- these Images from Turkey are INSANE-I hope this get resolved:for the people,the govt,the planet
345265928293986305,Thu Jun 13 19:46:26 +0000 2013,RT @BenjaminHarvey: A group of Turkish mothers answers govt calls to get their kids away from Gezi Park by going to Gezi Park with their ki
345265947512274947,Thu Jun 13 19:46:31 +0000 2013,""RT @PurpleGimp: Listening to the Italian piano player, David, play beautifully once more in #GeziPark: http://t.co/E1KF3SekCN #DirenGeziPar",Thu Jun 13 19:46:23 +0000 2013
12,1285876464,False,3,,,,0,1.0,,341084651839971000,RT @markwarschauer Excellent analysis by @techsoc on current protests in Turkey http://t.co/BdGMjCxSuS,Sun Jun 02 06:51:32 +0000 2013
13,1285876465,False,3,,0.0,,0,0.6667,,340566235928482000,http://t.co/Y7ytAICQ6Y more from #gezipark #istanbul #livestream,Fri May 31 20:31:32 +0000 2013
14,1285876466,False,4,0.0,0.75,,1,0.75,,341599140972724000,"RT @GlobalPost: Turkish protesters capture history in Instagrams and Vines | PHOTOS, VIDEO: http://t.co/kmGSLvBLmz #occupygezi",Mon Jun 03 16:55:56 +0000 2013
15,1285876467,False,3,1.0,0.6667,,1,1.0,,345991857521713000,@cnbce Gezi park under attack! Please go live NOW! #direngeziparki,Sat Jun 15 19:51:01 +0000 2013
16,1285876468,False,3,1.0,1.0,,1,1.0,,341270191960895000,"RT @ReutersWorld: In Turkey, at least 100 injured as police clash with protesters at Gezi Park http://t.co/FPyLrsV9Na #occupygezi http://t.",Sun Jun 02 19:08:48 +0000 2013
17,1285876469,False,5,,0.0,,0,0.6,,345281350481367000,The city that never sleeps! Istanbul! #direngeziparki,Thu Jun 13 20:47:43 +0000 2013
18,1285876470,False,3,,,,0,1.0,,341526400496439000,voilence in turkey: POLCE USE EXCESSVE FORCE TO TS OWN PEOPLE IN TURKEY. SITUATION IS GETTING WORSE! HERE'S... http://t.co/Jvjg7VFeCC,Mon Jun 03 12:06:53 +0000 2013
19,1285876471,False,4,,0.0,,0,0.75,,344468233815986000,"Turkey protests: PM Erdogan issues stern warning. Next step, probably start killing. http://t.co/YjqPyT6Gw4",Tue Jun 11 14:56:41 +0000 2013
20,1285876472,False,3,,,,0,1.0,,346948111370961000,#TurkeyNeedsWWAT Please come to Turkey!! @onedirection :),Tue Jun 18 11:10:50 +0000 2013
21,1285876473,False,4,0.0,0.5,,1,0.5,,343447398653239000,"RT @Anonymiss_News: Today, protests continue in #Turkey. It is no longer about a park, it is about freedom. The world joins the cause of th",Sat Jun 08 19:20:15 +0000 2013
22,1285876474,False,6,,,,0,1.0,,342749531663897000,This is what getting me through exams! Please don't lightening when I'm in Malaysia tho #turkey http://t.co/c6FhSnhvvo,Thu Jun 06 21:07:10 +0000 2013
23,1285876475,False,4,0.0,1.0,,1,1.0,,341198917653897000,"RT @ozziewashere: ""If the drinkers vote for me, they are not among alcoholics."" says Erdogan. These statements are a scandal. #occupygezi #",Sun Jun 02 14:25:35 +0000 2013
24,1285876476,False,3,,0.0,,0,0.6667,,340533167956038000,#uk #tv #usa #news Caught up in the Istanbul riots http://t.co/2he7pqNzAp,Fri May 31 18:20:08 +0000 2013
25,1285876477,False,3,,,,0,1.0,,347125949671813000,"In Turkey, a New Form of Protest: Standing Silently for Hours http://t.co/k4M8BI0wb0 #protest #turkey",Tue Jun 18 22:57:30 +0000 2013
26,1285876478,False,4,0.0,0.5,,1,0.5,,340532841735655000,RT @pixeliris: We dont have internet connection here! Please help us to spread our voice! This is ISTANBUL! #occupygezi #direngezi http://t,Fri May 31 18:18:50 +0000 2013
27,1285876479,False,3,0.0,0.6667,,1,0.6667,,340763524152312000,"RT @ioerror: #occupygezi ""Shops, hotels and private homes are now opening up their wifi so that people on the streets can still connect.""",Sat Jun 01 09:35:29 +0000 2013
28,1285876480,False,3,,0.0,,0,0.6667,,346599808804467000,"""sweet taste of liberty"" #direngezi #occupygezi http://t.co/pMjmNoXQnU",Mon Jun 17 12:06:48 +0000 2013
29,1285876481,False,3,,,,0,1.0,,345788002380939000,I'm at Piramit Alyans (Istanbul) http://t.co/hWKfyQpC7N,Sat Jun 15 06:20:58 +0000 2013
30,1285876482,False,4,,,,0,1.0,,343477579757523000,March in Union square #turkey http://t.co/zNBiYbrLIn,Sat Jun 08 21:20:11 +0000 2013
31,1285876483,False,3,1.0,1.0,,1,1.0,,345987932538151000,RT @DefneHalman: Children at Gezi Park before police attack @cnnbrk @guardian @Reuters @ZDF @ReutersLive @cnni @nytimes @BBCBreaking http:,Sat Jun 15 19:35:25 +0000 2013
32,1285876484,False,6,,,,0,1.0,,345495509315752000,"Home now, need to pack then off to the airport then turkey ahhh",Fri Jun 14 10:58:43 +0000 2013
33,1285876485,False,3,0.0,1.0,,1,1.0,,340503403350335000,RT @erdemkoc: A simple summary of what's happening in Turkey #direngezipark http://t.co/x91OO6j8V6,Fri May 31 16:21:52 +0000 2013
34,1285876486,False,3,,,,0,1.0,,342423151801676000,"Mom, you can't just warm up weeks-old turkey for dinner and expect it to taste decent...",Wed Jun 05 23:30:15 +0000 2013
35,1285876487,False,3,0.0,1.0,,1,1.0,,340963453701333000,RT @YolantheCabau: My heart is with turkish people who are defending their rights #occupygezi #direngeziparki #taksim #direnankara,Sat Jun 01 22:49:56 +0000 2013
36,1285876488,False,3,1.0,0.6667,,1,1.0,,346577714494448000,#Venice: turkish Consulate targeted by activists. #Erdogan assassin! #taksim #occupyGezi #direngezipark #Istanbul http://t.co/j5gAsFDAMl,Mon Jun 17 10:39:00 +0000 2013
37,1285876489,False,4,0.0,1.0,,1,1.0,,341923323262935000,RT @Greenpeace: Touching update on what's happening at Gezi Park from a colleague who feels at home at last in Istanbul: http://t.co/ElWB32,Tue Jun 04 14:24:07 +0000 2013
38,1285876490,False,3,,0.0,,0,0.6667,,340739905816756000,RT @SabineFreizer: Having spent afternoon around Taksim: police behavior worse than anything I ever saw in Baku or Tiflis past 10yrs. Sad d,Sat Jun 01 08:01:38 +0000 2013
39,1285876491,False,4,,,,0,1.0,,349280205560496000,#BumpShowMeetBieber TURKEY X37,Mon Jun 24 21:37:44 +0000 2013
