_unit_id,text_x,text_y,proccd_text_x,protest_x,protest_y,protest_confidence,violence_x,violence_y,violence_confidence,created_at_x,_golden_x
1657977939,Lawn GOOSE Clothes Lot 15 Outfit Pattern Sewing Turkey Uncle Sam Santa Ballerina | eBay http://t.co/m75nVPN3YO,Lawn GOOSE Clothes Lot 15 Outfit Pattern Sewing Turkey Uncle Sam Santa Ballerina | eBay http://t.co/m75nVPN3YO,lawn goose clothes lot DD outfit pattern sewing turkey uncle sam santa ballerina ebay httpAddress,"0
0
0",0,1,"
",,,Sat Jun 15 12:14:33 +0000 2013,FALSE
1657977940,RT @VOT99: Turkish Police have blacked out ID numbers on their helmuts at #occupygezi #direngeziparki protests. Why? http://t.co/3yRR3HG4Ri,RT @VOT99: Turkish Police have blacked out ID numbers on their helmuts at #occupygezi #direngeziparki protests. Why? http://t.co/3yRR3HG4Ri,rt usrId turkish police have blacked out id numbers on their helmuts at #occupygezi #direngeziparki httpAddress why ? httpAddress,"1
1
1",1,1,"0
1
0",0,0.6606,Tue Jun 04 16:04:35 +0000 2013,FALSE
1657977941,RT @CihanSCelik: #Occupy #Taksim protesters in #Istanbul call on #AKP govt to resign. http://t.co/YnnGaswzuX,RT @CihanSCelik: #Occupy #Taksim protesters in #Istanbul call on #AKP govt to resign. http://t.co/YnnGaswzuX,rt usrId #occupy #taksim protesters in #istanbul call on #akp govt to httpAddress httpAddress,"1
1
1",1,1,"0
0
0",0,1,Sat Jun 01 07:12:41 +0000 2013,FALSE
1657977942,RT @MarietjeSchaake: @MarkABentley: Erdogan says vandals entering mosques with beer bottles and attacking women with headscarves #turkey,RT @MarietjeSchaake: @MarkABentley: Erdogan says vandals entering mosques with beer bottles and attacking women with headscarves #turkey,rt usrId usrId erdogan says vandals entering mosques with beer bottles and attacking women with headscarves #turkey,"0
1
0",0,0.6767,"
1
",1,1,Sun Jun 09 14:53:50 +0000 2013,FALSE
1657977943,"Photoset: forest-dreams: Turkey needs support, as always the media try to hide the truth @huffingtonpost... http://t.co/H35wQxpjjA","Photoset: forest-dreams: Turkey needs support, as always the media try to hide the truth @huffingtonpost... http://t.co/H35wQxpjjA",photoset forest dreams turkey needs support as always the media try to hide the truth httpAddress httpAddress,"0
0
0",0,1,"
",,,Sat Jun 01 22:08:17 +0000 2013,FALSE
1657977944,RT @wsjemre: Protesters set up barricades to halt #Turkish cops from marching back to Taksim Sq. #Istanbul. Hoping people'll calm. http://t,RT @wsjemre: Protesters set up barricades to halt #Turkish cops from marching back to Taksim Sq. #Istanbul. Hoping people'll calm. http://t,rt usrId protesters set up barricades to halt #turkish cops from marching back to taksim sq . httpAddress hoping people ll httpAddress httpAddress,"1
1
0",1,0.659,"0
0
",0,1,Sat Jun 01 19:58:31 +0000 2013,FALSE
1657977945,RT @AlganSez: police. fascism. turkey. now. http://t.co/S28JrzuT29,RT @AlganSez: police. fascism. turkey. now. http://t.co/S28JrzuT29,rt usrId httpAddress httpAddress httpAddress httpAddress httpAddress,"0
0
0",0,1,"
",,,Mon Jun 03 22:57:24 +0000 2013,FALSE
1657977946,"RT @anafoulla: Moroccans protesting Erdogan's visit #direngeziparki It says ""no to the criminal's visit to our country"" http://t.co/yYiT1jS","RT @anafoulla: Moroccans protesting Erdogan's visit #direngeziparki It says ""no to the criminal's visit to our country"" http://t.co/yYiT1jS",rt usrId moroccans protesting erdogan s visit #direngeziparki it says no to the criminal s visit to our country httpAddress,"1
0
1",1,0.6515,"0
0",0,1,Mon Jun 03 19:19:02 +0000 2013,FALSE
1657977947,"Taksim Square and Gezi Park Protests: Designing a Common Present, Future, and Past - http://t.co/1cFWMk1xzW","Taksim Square and Gezi Park Protests: Designing a Common Present, Future, and Past - http://t.co/1cFWMk1xzW",taksim square and gezi park protests designing a common present future and past httpAddress,"1
1
1",1,1,"0
0
0",0,1,Thu Jun 13 13:27:20 +0000 2013,FALSE
1657977948,RT @dowjones_yeliz: Investors baffled by Turkey Protests - MoneyBeat - WSJ http://t.co/9X9o9JNsjp via @WSJ with @kerim_karakaya,RT @dowjones_yeliz: Investors baffled by Turkey Protests - MoneyBeat - WSJ http://t.co/9X9o9JNsjp via @WSJ with @kerim_karakaya,rt usrId investors baffled by turkey protests moneybeat wsj httpAddress via usrId with usrId,"1
1
1",1,1,"0
0
0",0,1,Wed Jun 05 17:39:21 +0000 2013,FALSE
