_unit_id,_golden,_unit_state_x,_trusted_judgments,_last_judgment_at_x,violence_judgment,violence,violence_confidence,protest_judgment_x,protest,protest_confidence,created_at,id,proccd_text,Fatma_protest,Fatma_violence
1657977939,FALSE,finalized,3,3/30/2018 15:01:20,"""nan""",,,"""000""",0,1,Sat Jun 15 12:14:33 +0000 2013,3.46E+17,lawn goose clothes lot DD outfit pattern sewing turkey uncle sam santa ballerina ebay httpAddress,0,0
1657977940,FALSE,finalized,3,3/30/2018 15:11:00,"""010""",0,0.6606,"""111""",1,1,Tue Jun 04 16:04:35 +0000 2013,3.42E+17,rt usrId turkish police have blacked out id numbers on their helmuts at #occupygezi #direngeziparki httpAddress why ? httpAddress,1,0
1657977941,FALSE,finalized,3,3/30/2018 15:05:25,"""000""",0,1,"""111""",1,1,Sat Jun 01 07:12:41 +0000 2013,3.41E+17,rt usrId #occupy #taksim protesters in #istanbul call on #akp govt to httpAddress httpAddress,1,0
1657977942,FALSE,finalized,3,04/06/18 11:49,"""1""",,0,"""010""",0,0.6767,Sun Jun 09 14:53:50 +0000 2013,3.44E+17,rt usrId usrId erdogan says vandals entering mosques with beer bottles and attacking women with headscarves #turkey,0,0
1657977943,FALSE,finalized,3,3/30/2018 15:33:35,"""nan""",,,"""000""",0,1,Sat Jun 01 22:08:17 +0000 2013,3.41E+17,photoset forest dreams turkey needs support as always the media try to hide the truth httpAddress httpAddress,0,0
1657977944,FALSE,finalized,3,04/06/18 14:35,"""00""",0,0.659,"""110""",1,0.659,Sat Jun 01 19:58:31 +0000 2013,3.41E+17,rt usrId protesters set up barricades to halt #turkish cops from marching back to taksim sq . httpAddress hoping people ll httpAddress httpAddress,1,0
1657977945,FALSE,finalized,3,04/06/18 12:19,"""nan""",,,"""000""",0,1,Mon Jun 03 22:57:24 +0000 2013,3.42E+17,rt usrId httpAddress httpAddress httpAddress httpAddress httpAddress,0,0
1657977946,FALSE,finalized,3,3/30/2018 15:01:20,"""00""",0,0.6515,"""101""",1,0.6515,Mon Jun 03 19:19:02 +0000 2013,3.42E+17,rt usrId moroccans protesting erdogan s visit #direngeziparki it says no to the criminal s visit to our country httpAddress,0,0
1657977947,FALSE,finalized,3,3/30/2018 15:09:17,"""000""",0,1,"""111""",1,1,Thu Jun 13 13:27:20 +0000 2013,3.45E+17,taksim square and gezi park protests designing a common present future and past httpAddress,1,0
1657977948,FALSE,finalized,3,3/30/2018 15:31:17,"""000""",0,1,"""111""",1,1,Wed Jun 05 17:39:21 +0000 2013,3.42E+17,rt usrId investors baffled by turkey protests moneybeat wsj httpAddress via usrId with usrId,0,0
1657977949,FALSE,finalized,3,3/30/2018 15:02:31,"""100""",0,0.6676,"""111""",1,1,Fri May 31 21:24:52 +0000 2013,3.41E+17,rt usrId turkish media ignoring the protests usrId ntv is airing a cooking show no i am not kidding #occupygezi httpAddress,1,0
1657977950,FALSE,finalized,3,3/30/2018 15:29:27,"""11""",1,0.6612,"""101""",1,0.6612,Mon Jun 10 03:49:59 +0000 2013,3.44E+17,turkey police crush protests in ankara istanbul photos video,1,1
1657977951,FALSE,finalized,3,04/06/18 12:26,"""nan""",,,"""000""",0,1,Sat Jun 01 10:23:40 +0000 2013,3.41E+17,july 19 DD turkeys human rights hypocrisy httpAddress,0,0
1657977953,FALSE,finalized,3,3/30/2018 15:19:48,"""nan""",,,"""000""",0,1,Fri Jun 07 09:34:14 +0000 2013,3.43E+17,rt usrId borsa istanbul chapulled by httpAddress httpAddress its loses reached to 16 since chapullers chapulled !,0,0
1657977954,FALSE,finalized,3,3/30/2018 15:00:58,"""110""",1,0.6769,"""111""",1,1,Wed Jun 12 23:29:49 +0000 2013,3.45E+17,rt usrId police detaining protestors in #direnankara httpAddress residents being asked to open httpAddress doors to those needing to hid,1,1
1657977955,FALSE,finalized,3,3/30/2018 15:02:31,"""nan""",,,"""000""",0,1,Fri Jun 14 22:17:56 +0000 2013,3.46E+17,guess everybody forgot london riots in 2011 ! and its host !! httpAddress,0,0
1657977956,FALSE,finalized,3,04/05/18 11:50,"""11""",1,0.625,"""101""",1,0.625,Sun Jun 16 11:41:34 +0000 2013,3.46E+17,cbs riot police rush to crush renewed turkey protests httpAddress #news,1,1
1657977957,FALSE,finalized,3,04/06/18 14:51,"""000""",0,1,"""111""",1,1,Sat Jun 08 20:22:27 +0000 2013,3.43E+17,rt usrId welcome to the revolution ntv ! #occupygezi httpAddress #occupygezi #occupyturkey #revolution #turkey,1,0
1657977959,FALSE,finalized,3,3/30/2018 14:50:39,"""00""",0,0.6594,"""011""",1,0.6594,Wed Jun 19 14:10:02 +0000 2013,3.47E+17,akp genius created standing men standing against standing httpAddress #duranadam,0,0
