,predction,prob_non_violent,prob_violent,test_text,y
0,0,0.99260134,0.007398649,shift syria stance syria news,0
1,0,0.950601,0.049399044,mems fam nearly year miss,0
2,0,0.950601,0.049399044,lol steak cheers,0
3,0,0.997638,0.0023619942,falls media via,0
4,1,0.019622756,0.98037726,occupy put first way class people elite,0
5,0,0.99999964,3.7035565e-07,wow talk strong strong image via,0
6,0,0.99855286,0.0014471186,th soup day cream beef roast mashed,0
7,0,0.53959054,0.46040943,people march oc,0
8,0,0.99897325,0.001026813,shame first page today going,0
9,1,0.20489398,0.79510605,bbc news ankara clash police,1
10,0,1.0,8.939072e-11,th world number made truce pkk,0
11,0,0.9993262,0.000673843,mayor even kids tear gas fier,1
12,1,9.6584925e-05,0.99990344,ween cold back onto,0
13,0,0.9999988,1.1546997e-06,hot really hoe go yo,0
14,0,0.950601,0.049399044,little girl dad refuge,0
15,1,0.1694611,0.83053887,attack police people gazi occu,1
16,1,0.2128091,0.78719085,needs ankara one police used gun shot,1
17,0,0.999997,3.0208867e-06,think last pic see gas cloud middle,1
18,0,0.9995921,0.0004078905,bbc news dam plan causes,0
19,0,0.89651996,0.10348002,please help us spread stop human rights,0
20,0,0.8852812,0.114718795,prime call menace social media fact,0
21,0,0.950601,0.049399044,end utopia earth green ii,0
22,0,0.950601,0.049399044,hours court ruled favor local,0
23,0,0.950601,0.049399044,friday latest photos,0
24,0,1.0,4.203713e-08,today menu smoked mac cheese rolls corn red velvet cake,0
25,1,0.009369446,0.99063057,police clean people new age,1
26,1,0.42947263,0.5705274,people pay last cmert killed anti,1
27,0,0.858538,0.141462,view ak party rally ankara,0
28,0,1.0,8.939072e-11,horse horse world,0
29,1,0.0008108369,0.9991892,woman red power enough,0
30,0,0.9979108,0.002089151,says spring bbc news,0
31,0,0.9999716,2.8391922e-05,please save hyde needed saved tnku,0
32,0,0.994962,0.0050380467,mall last straw safe,0
33,0,0.950601,0.049399044,good luck abi en buyuk cimbom,0
34,0,0.98098654,0.019013522,police fight rich today examp,0
35,0,1.0,2.7460378e-14,think ate entire yet,0
36,1,0.0027946956,0.9972053,ankara police block raid tear gas,1
37,0,0.950601,0.049399044,final score italy ress,0
38,0,0.99993885,6.117285e-05,yup mt says powers using,0
39,0,0.9999999,6.533964e-08,father told young riots means,0
