violence,protest,proccd_text,text
0,1,rt usrId turkey football fans call for pm to resign #occupygezi httpAddress,"RT @zeynepmengi: Turkey: Football Fans Call For PM To Resign #occupygezi #direngezipark
http://t.co/QZ3N1sp4qJ"
0,0,usrId turkey ? they can t be httpAddress,@dan_moczulski Turkey? They can't be serious.
0,0,rt usrId this horse from turkey was announced the most beautiful horse in the world httpAddress,RT @GoogleFacts: This horse from Turkey was announced the most beautiful horse in the world: http://t.co/oGUcEseNJr
1,1,rt usrId #turkey police are firing tear gas grenades straight into crowds with an #oakland abandon a cool new way of httpAddress,RT @johnkt09: #Turkey police are firing tear-gas grenades straight into crowds with an #Oakland abandon: A cool new way of maiming/killing 
0,0,moscow disappointed political games prevented investigation into chemical weapons use in syria rt news httpAddress,Moscow disappointed political games prevented investigation into chemical weapons use in Syria RT News: http://t.co/NabXNhsAK4
0,1,top news calm for now in turkey protests as both sides talk usa today bbc newscalm for now in turkey httpAddress httpAddress,top news: Calm for now in Turkey protests as both sides talk - USA TODAY: BBC NewsCalm for now in Turkey prote... http://t.co/7NzESYzx8M
1,1,rt usrId #occupygezi #killererdogan #resistanbul this is the another chemical used in water canons against the httpAddress http,RT @rimskikorsakov: #occupygezi #killererdogan #resistanbul This is the another chemical used in water canons against the protestors. http:
1,1,rt usrId people helping out street animals affected by tear httpAddress stop police violence ! #turkey #direngeziparki #occupygezi httpAddress,RT @unbirthdaytea: People helping out street animals affected by tear gas. STOP POLICE VIOLENCE! #turkey #direngeziparki #occupygezi http:/
1,1,rt usrId fashionable to wear gas mask helmet goggles downtown istanbul httpAddress sure how many will actually stay if violence erup,"RT @FraCicardi: Fashionable to wear gas mask, helmet, goggles downtown Istanbul now...not sure how many will actually stay if violence erup"
0,1,turkey pm to continue with istanbul park plan despite protests despite mass protests in the country against httpAddress httpAddress,Turkey PM To Continue With Istanbul Park Plan Despite Protests: Despite mass protests in the country against t... http://t.co/hvlL06VySx
0,0,lasagna cupcakes ingredients httpAddress pound ground beef substitute ground turkey or other protein salt httpAddress httpAddress,"Lasagna Cupcakes 
Ingredients: 1/3 pound ground beef (substitute: ground turkey or other protein), salt and... http://t.co/mUM28YmXiL"
0,1,rt usrId twitter refuses to share the data of its users detained in #occupygezi protests httpAddress via usrId #t,RT @OccupyWallStNYC: Twitter refuses to share the data of its users detained in #occupyGezi protests http://t.co/zpFZCW0fUH (via @HDNER) #t
0,1,rt usrId usrId rigtnow hundreds of thousands people flowing to the #taksisquare in #istanbul to protest the oppression of #erd,RT @VOT99: @syriancommando RigtNow hundreds of thousands people flowing to the #TaksiSquare in #Istanbul to protest the Oppression of #Erd
