,Unnamed: 0,_unit_id,_golden,_unit_state_x,_trusted_judgments,_last_judgment_at_x,violence_judgment,violence,violence_confidence,protest_judgment_x,protest,protest_confidence,created_at,id,proccd_text,clean_text,non_vio_prob,vio_prob,violence_prediction
9,16,1657977956,False,finalized,3,04/05/18 11:50,"""11""",1.0,0.625,"""101""",1,0.625,Sun Jun 16 11:41:34 +0000 2013,3.46231e+17,cbs riot police rush to crush renewed turkey protests httpAddress #news,cbs riot police rush crush renewed news,0.9400535517420494,0.059946448257950674,0.0
23,49,1657977998,False,finalized,3,04/05/18 11:50,"""01""",1.0,0.3125,"""101""",1,0.625,Sun Jun 16 19:34:30 +0000 2013,3.4635e+17,rt usrId #istanbul #protestors holding their ground despite organized #attacks by the #police and #fascist httpAddress no retreating,protestors holding ground despite organized attacks police fascist retreating,0.8063665596894708,0.1936334403105292,0.0
25,58,1657978009,False,finalized,3,3/30/2018 15:09:17,"""110""",1.0,0.6581,"""111""",1,1.0,Sun Jun 16 10:41:39 +0000 2013,3.46216e+17,rt usrId police detaining the doctors at ramada hotel for treating gezipark protestors 3462DD001152634880 sun jun DD DD 41 41 00 2013 turkey eu minister usrId tweets link saying people need to know that anyone entering taksim will be seen as a httpAddress jun DD DD 41 48 00 2013 her yer taksim her yer direni everywhere is taksim everywhere is httpAddress jun DD DD 41 48 00 2013 rt usrId letter to pm of #turkey from world medical association httpAddress DD millions doctors in the world httpAddress jun DD DD 41 56 00 httpAddress turkish protesters responding to every instance of police violence with acts of kindness amp ,police detaining doctors ramada hotel treating gezipark protestors eu minister tweets link saying people need know anyone entering seen yer yer direni everywhere everywhere letter world medical association millions doctors world responding every instance police violence acts kindness,0.7891811285454838,0.21081887145451605,0.0
27,60,1657978012,False,finalized,3,3/30/2018 15:02:31,"""111""",1.0,1.0,"""111""",1,1.0,Wed Jun 12 18:49:45 +0000 2013,3.44889e+17,usrId riot police fire water cannon at protester in wheelchair at #taksim httpAddress #occupygezi,riot police fire water cannon protester wheelchair,0.8449362208163158,0.15506377918368414,0.0
29,63,1657978015,False,finalized,3,3/30/2018 15:04:47,"""011""",1.0,0.6594,"""111""",1,1.0,Mon Jun 03 17:58:30 +0000 2013,3.41615e+17,rt usrId police chopper circling over crowd of tens of thousands filling taksim square gezi httpAddress the gas has sent thousands httpAddress,police chopper circling crowd tens thousands filling square gas sent thousands,0.9630059782254538,0.03699402177454619,0.0
45,94,1657978052,False,finalized,3,3/30/2018 15:29:27,"""10""",1.0,0.3388,"""011""",1,0.6748,Mon Jun 24 10:27:31 +0000 2013,3.49112e+17,rt usrId #simsek says some journalists killed people robbed httpAddress that s why they re in httpAddress #turkey 34911712068272128 mon jun DD 10 28 13 00 2013 rt usrId #simsek says #erdogan government not imposing way of life on httpAddress #turkey 34911742330195968 mon jun DD 10 28 20 00 2013 via usrId erdogan said that his cops were very httpAddress look how brave they httpAddress #occupygezi #direnankara httpAddress,simsek says journalists killed people robbed mon simsek says erdogan government imposing way life mon via erdogan said cops look brave,0.9431739028350258,0.05682609716497413,0.0
47,96,1657978054,False,finalized,3,3/30/2018 15:24:33,"""11""",1.0,0.6594,"""011""",1,0.6594,Tue Jun 11 11:49:37 +0000 2013,3.44421e+17,turkish secret police agents provocateurs infiltrating taksim square ? its the oldest trick in the kgb httpAddress httpAddress,secret police agents provocateurs infiltrating square oldest trick kgb,0.7927437363088196,0.20725626369118022,0.0
87,206,1657978210,False,finalized,3,04/03/18 20:14,"""101""",1.0,0.664,"""111""",1,1.0,Sun Jun 02 23:08:29 +0000 2013,3.41331e+17,rt usrId 100s arrested in httpAddress protestors locked up in a basketball httpAddress people plan to march there and release them #occupy,s arrested protestors locked basketball people plan march release occupy,0.9794091754669805,0.020590824533019633,0.0
88,213,1657978229,False,finalized,3,04/03/18 17:15,"""111""",1.0,1.0,"""111""",1,1.0,Thu Jun 13 17:59:50 +0000 2013,3.45239e+17,rt usrId fashionable to wear gas mask helmet goggles downtown istanbul httpAddress sure how many will actually stay if violence erup,fashionable wear gas mask helmet goggles downtown sure many actually stay violence erup,0.7490474103422872,0.2509525896577129,0.0
94,228,1657978256,False,finalized,3,04/03/18 20:56,"""001""",0.0,0.6748,"""111""",1,1.0,Sun Jun 02 17:43:20 +0000 2013,3.41249e+17,rt usrId scenes from ankara and izmir quite httpAddress with police httpAddress about this results in being labeled a p,scenes ankara izmir quite police results labeled p,0.52129479361751,0.4787052063824898,1.0
