,Unnamed: 0,_unit_id,_golden,_unit_state_x,_trusted_judgments,_last_judgment_at_x,violence_judgment,violence,violence_confidence,protest_judgment_x,protest,protest_confidence,created_at,id,proccd_text,clean_text,non_vio_prob,vio_prob,violence_prediction
0,1,1657977940,FALSE,finalized,3,3/30/2018 15:11:00,"""010""",0,0.6606,"""111""",1,1,Tue Jun 04 16:04:35 +0000 2013,3.42E+17,rt usrId turkish police have blacked out id numbers on their helmuts at #occupygezi #direngeziparki httpAddress why ? httpAddress,police blacked id numbers helmuts,0.835713926,0.164286074,0
1,4,1657977943,FALSE,finalized,3,3/30/2018 15:33:35,"""nan""",0,0,"""000""",0,1,Sat Jun 01 22:08:17 +0000 2013,3.41E+17,photoset forest dreams turkey needs support as always the media try to hide the truth httpAddress httpAddress,photoset forest dreams needs support always media try hide truth,0.976113262,0.023886738,0
2,769,1657979212,FALSE,finalized,3,04/03/18 19:17,"""nan""",0,0,"""000""",0,1,Sat Jun 01 21:05:07 +0000 2013,3.41E+17,rt usrId photoset forest dreams turkey needs support as always the media try to hide the truth httpAddress,photoset forest dreams needs support always media try hide truth,0.976113262,0.023886738,0
3,7,1657977946,FALSE,finalized,3,3/30/2018 15:01:20,"""00""",0,0.6515,"""101""",1,0.6515,Mon Jun 03 19:19:02 +0000 2013,3.42E+17,rt usrId moroccans protesting erdogan s visit #direngeziparki it says no to the criminal s visit to our country httpAddress,moroccans protesting erdogan visit says criminal visit country,0.984581896,0.015418104,0
4,9,1657977948,FALSE,finalized,3,3/30/2018 15:31:17,"""000""",0,1,"""111""",1,1,Wed Jun 05 17:39:21 +0000 2013,3.42E+17,rt usrId investors baffled by turkey protests moneybeat wsj httpAddress via usrId with usrId,investors baffled moneybeat wsj via,0.948522129,0.051477871,0
5,10,1657977949,FALSE,finalized,3,3/30/2018 15:02:31,"""100""",0,0.6676,"""111""",1,1,Fri May 31 21:24:52 +0000 2013,3.41E+17,rt usrId turkish media ignoring the protests usrId ntv is airing a cooking show no i am not kidding #occupygezi httpAddress,media ignoring ntv airing cooking show kidding,0.955796023,0.044203977,0
6,12,1657977951,FALSE,finalized,3,04/06/18 12:26,"""nan""",0,0,"""000""",0,1,Sat Jun 01 10:23:40 +0000 2013,3.41E+17,july 19 DD turkeys human rights hypocrisy httpAddress,july turkeys human rights hypocrisy,0.963073314,0.036926686,0
7,13,1657977953,FALSE,finalized,3,3/30/2018 15:19:48,"""nan""",0,0,"""000""",0,1,Fri Jun 07 09:34:14 +0000 2013,3.43E+17,rt usrId borsa istanbul chapulled by httpAddress httpAddress its loses reached to 16 since chapullers chapulled !,borsa chapulled loses reached since chapullers chapulled,0.948522129,0.051477871,0
8,15,1657977955,FALSE,finalized,3,3/30/2018 15:02:31,"""nan""",0,0,"""000""",0,1,Fri Jun 14 22:17:56 +0000 2013,3.46E+17,guess everybody forgot london riots in 2011 ! and its host !! httpAddress,guess everybody forgot london riots host,0.937532115,0.062467885,0
10,17,1657977957,FALSE,finalized,3,04/06/18 14:51,"""000""",0,1,"""111""",1,1,Sat Jun 08 20:22:27 +0000 2013,3.43E+17,rt usrId welcome to the revolution ntv ! #occupygezi httpAddress #occupygezi #occupyturkey #revolution #turkey,welcome revolution ntv occupyturkey revolution,0.834587652,0.165412348,0
11,18,1657977959,FALSE,finalized,3,3/30/2018 14:50:39,"""00""",0,0.6594,"""011""",1,0.6594,Wed Jun 19 14:10:02 +0000 2013,3.47E+17,akp genius created standing men standing against standing httpAddress #duranadam,akp genius created standing men standing standing duranadam,0.995202323,0.004797677,0
12,19,1657977960,FALSE,finalized,3,3/30/2018 15:00:58,"""0""",0,0,"""100""",0,0.6496,Sun Jun 02 18:24:59 +0000 2013,3.41E+17,rt usrId all solidarity with the turkish protesters in #turkey though the turkish regime should learn from its neighbors in mideast,solidarity though regime learn neighbors mideast,0.968816451,0.031183549,0
13,21,1657977964,FALSE,finalized,3,3/30/2018 15:00:03,"""nan""",0,0,"""000""",0,1,Wed Jun 19 07:13:56 +0000 2013,3.47E+17,rt usrId my brother s just fucked off to turkey with his slam peice that prick can go on holiday but i can t #jokes,brother fucked slam peice prick go holiday jokes,0.948522129,0.051477871,0
14,23,1657977968,FALSE,finalized,3,3/30/2018 15:21:39,"""00""",0,0.672,"""110""",1,0.672,Sun Jun 09 17:49:42 +0000 2013,3.44E+17,rt usrId hi everyone we re closing down our live blog for httpAddress as a volunteer collective we can t keep up this rate of,hi everyone closing live blog volunteer collective keep rate,0.847050872,0.152949128,0
