proccd_text,violence,svm_preictions,svm_0_probabilities(non_violence),svm_1_probabilities(violence)
visit says visit,0,0,0.90611842,0.09388158
march union square,0,0,0.915998444,0.084001556
dtn occupy take akp occupy iconic,0,0,0.964536849,0.035463151
peeps power stay till yet eat snacks chips salsa,0,0,0.946460444,0.053539556
images unrest via,0,0,0.939239598,0.060760402
panini sweet potato fries peach cider bean gelato bother next couple hours,0,0,0.945521059,0.054478941
think thick people travel old town wide river betw,0,0,0.870603753,0.129396247
ugh omg guys,0,0,0.932720954,0.067279046
says matter much one glass week drink alcoh,0,0,0.916571358,0.083428642
cnn mehmet ali lies yn cnn big,0,0,0.952928457,0.047071543
clash police early hours via,0,1,0.599195431,0.400804569
police city fire tear gas,1,1,0.629985702,0.370014298
erdoan shame utanc resmi,0,0,0.953973392,0.046026608
unions call strike,0,0,0.932720954,0.067279046
inside square one horse world oslo time stand still group rsf rwb fuhrer prime vows man joins ranks iconic human drama vw dozens held silent goes viral share top news rss,0,0,0.950678525,0.049321475
zeynep erdim dim th day police use tear gas,1,1,0.249855285,0.750144715
chazzy dam fool dat pitty jive never worked day life da king ya feel,0,0,0.920454234,0.079545766
shame us tear gas used made brasil,0,0,0.870634705,0.129365295
cyril ts lol gazi seems like hve sunny sadton lol need go bck pta cobo,0,0,0.989100858,0.010899142
new tahrir erdoan wants cut trees build mall public,0,0,0.947075102,0.052924898
tahiti scored minute going happen,0,0,0.958028803,0.041971197
people need give made decade rising power,0,0,0.900333901,0.099666099
city never sleeps,0,0,0.953968136,0.046031864
rebel police world vimeo the,0,0,0.875592249,0.124407751
wanna revise wanna burn like,0,0,0.938183583,0.061816417
vow pledge halt plan,0,0,0.937809506,0.062190494
ankara get occupy,0,0,0.939071141,0.060928859
lol im still dad said calves looked like sticks wore heels,0,0,0.938912507,0.061087493
people world must know city region must green cover,0,0,0.982284798,0.017715202
bit like still,0,0,0.932720954,0.067279046
photo abit eating sarnie,1,0,0.772800803,0.227199197
german bear hug eu block hurts via,0,0,0.890401205,0.109598795
mapped based news via,0,0,0.943931881,0.056068119
though regime learn,0,0,0.932720954,0.067279046
square day key events far via,0,0,0.81543005,0.18456995
square fourth night anti indis,0,0,0.969567011,0.030432989
pound ground beef ground salt,0,0,0.932720954,0.067279046
state tv body says fined halktv aired live films,0,0,0.913895285,0.086104715
gov breaks geneva,0,0,0.936487563,0.063512437
bize yer nc,0,0,0.932720954,0.067279046
mb vision thank god hate sheer libya,0,0,0.932720954,0.067279046
talks defy last,0,0,0.932720954,0.067279046
fidel crime police please,0,0,0.772863308,0.227136692
united since united,0,0,0.932720954,0.067279046
create public food photo record ht,0,0,0.789019801,0.210980199
seems people police,0,1,0.636023162,0.363976838
deals media says lot really thinks,0,0,0.894625086,0.105374914
worth value ju,0,0,0.932720954,0.067279046
today go black friday cos media report pol,0,0,0.932064137,0.067935863
pro yeni afak today front page,0,0,0.963770937,0.036229063
hell think cant prime,0,0,0.925361933,0.074638067
shops hotels homes wifi people still,0,0,0.877656736,0.122343264
said youth bang pots,0,0,0.932720954,0.067279046
bloody hell jus got kicked owt fer coolin mi fanny bag,0,0,0.932720954,0.067279046
tear gas post,0,0,0.818153898,0.181846102
texas rueben pepper,0,0,0.861970101,0.138029899
leg funnel cake,0,0,0.932720954,0.067279046
shit moms buy keep bacon niggas worst idea,0,0,0.970895473,0.029104527
least police clash,1,1,0.534266655,0.465733345
court orders sacred outcry via,0,0,0.932720954,0.067279046
hooray turks firing made tear gas,1,0,0.818153898,0.181846102
stock lira fell today enter fourth,0,0,0.9830676,0.0169324
police ankara night new police coming,1,0,0.847605771,0.152394229
trying find softer tough task close,0,0,0.928605404,0.071394596
act grieve losses,0,0,0.932720954,0.067279046
wear gas mask helmet sure many stay erup,1,0,0.852141775,0.147858225
human rights watch police greek style crazy loves gareth warn things latest tgsm house smoked bacon tomato aioli butter labrea,0,0,0.903270737,0.096729263
human rights page tells going,0,0,0.958028803,0.041971197
arab spring coming north coming east,0,0,0.9709391,0.0290609
kiss amidst fire,0,0,0.932720954,0.067279046
great friend prime back obama,0,0,0.96552478,0.03447522
lede add tear gas stir images police fuel anger,1,1,0.563085062,0.436914938
people foot join via,0,0,0.877656736,0.122343264
words please see,0,0,0.932720954,0.067279046
police march polis one symbol,0,0,0.772863308,0.227136692
people gas masks scene,0,0,0.766446714,0.233553286
arrest social media users and want eu hell allow crapp,0,0,0.934274538,0.065725462
ny times cnn bbc,0,0,0.94603376,0.05396624
apart story bbc london riots wayy,0,0,0.896167348,0.103832652
even though week record police action would prove wrong last,0,0,0.884512349,0.115487651
nobody right law,0,0,0.898133343,0.101866657
art stand united,0,0,0.910473751,0.089526249
right usa ola acab,0,0,0.858156255,0.141843745
top trend latest speech,0,0,0.945825516,0.054174484
guess forgot london riots host,0,0,0.889610495,0.110389505
join send end abuses,0,0,0.870609969,0.129390031
best luck people,0,0,0.892341096,0.107658904
heart people rights,0,0,0.877656736,0.122343264
mall last straw safe,0,0,0.932720954,0.067279046
many things going world year old shot bullet killed police help akp boys image jimin jin cool skool,1,0,0.686421173,0.313578827
need keep gez ny alive want voice,0,0,0.970657393,0.029342607
watch live police use tear gas oust sq,1,1,0.252409514,0.747590486
police terror must host games,0,0,0.772863308,0.227136692
unions join male panel rape,0,0,0.932720954,0.067279046
tons tear gas pepper spray years mainly us brazil,1,1,0.666277918,0.333722082
think wanna make ah nd bacon nd xtra pico de gallo,0,0,0.979214556,0.020785444
kill us saying ever,0,0,0.932720954,0.067279046
child tear gas hotel near photo yannis,1,1,0.5,0.5
sheikh imran jihad syria via egypt qata,0,0,0.938212557,0.061787443
ikea mete bahar,0,0,0.932720954,0.067279046
gas seems sad,1,0,0.863796156,0.136203844
pay made via,0,0,0.932720954,0.067279046
raise voice orphan keep trend,0,0,0.932720954,0.067279046
well type akp opens,0,0,0.964536849,0.035463151
update braces second day parts closed,0,0,0.848887898,0.151112102
rising real story,0,0,0.886008419,0.113991581
flag note rupees,0,0,0.932720954,0.067279046
needs write egypt sides onto,0,0,0.93130019,0.06869981
first sent please give occ,0,0,0.932720954,0.067279046
dogus power center,0,0,0.946460444,0.053539556
cops shops live square,1,0,0.868765579,0.131234421
reeks prime says,0,0,0.90611842,0.09388158
wsj survey half never taken part mass,0,0,0.971107625,0.028892375
dont please help us spread voice,0,0,0.87065869,0.12934131
call take action police,1,0,0.870609704,0.129390296
headed party made tur,0,0,0.932720954,0.067279046
area retail jobs cosine,0,0,0.932720954,0.067279046
really sad one cities right pray soon,0,0,0.79833238,0.20166762
love prime allah,0,0,0.967076154,0.032923846
get sony ea right,0,0,0.898133343,0.101866657
tell choffi spelt lol tail,0,0,0.938912507,0.061087493
banks root single german,0,0,0.932720954,0.067279046
bbc radio live uk time top st,0,0,0.914324546,0.085675454
maske maske maske,0,0,0.932720954,0.067279046
th held march,0,0,0.951608921,0.048391079
live report right msnbc,0,0,0.769578052,0.230421948
fifa world cup vs el ss,0,0,0.97524803,0.02475197
page party tkp active tkp,0,0,0.932720954,0.067279046
lool omg could fit,0,0,0.932720954,0.067279046
people london hyde police,0,1,0.636023162,0.363976838
ak party rules early polls mass renew via akp,0,0,0.985669373,0.014330627
return must end,0,0,0.870609969,0.129390031
ernst young others,0,0,0.942726094,0.057273906
images egypt brazil find boa,0,0,0.939239598,0.060760402
battle amid tree photo,0,0,0.827105368,0.172894632
media chose show rather kerem oktem,0,0,0.902518776,0.097481224
prime said social media worst menace,0,0,0.937911451,0.062088549
cancel event want,0,0,0.957862494,0.042137506
storm troops police armed clubs knives meat,1,0,0.772863308,0.227136692
polis basina karsi police press umto,0,0,0.768903182,0.231096818
govt draft law social media bid crack,0,0,0.93458457,0.06541543
tear gas fired square listen tells scenes,1,0,0.779681843,0.220318157
conor coady named world cup later,0,0,0.965322747,0.034677253
doha aghan govt groups us india iran china russia enjoy sp,0,0,0.932720954,0.067279046
tear gas clouds fill square riot police push back,1,1,0.662049676,0.337950324
riot police prime tayyip,0,0,0.88611472,0.11388528
police clean people new age,0,1,0.63112542,0.36887458
akut team divan hotel first aid amid brutal,0,0,0.989223893,0.010776107
small tiny become,0,0,0.932720954,0.067279046
justin please come back,0,0,0.959466846,0.040533154
cute give update life,0,0,0.870639805,0.129360195
quick short forget us police dealt occ,0,0,0.772863308,0.227136692
trust bbim use otr secure chat,0,0,0.870960998,0.129039002
canada huge help big thank,0,0,0.886525193,0.113474807
prime recep tayyip says go ahead plans square despit,0,0,0.958857111,0.041142889
chases police toma,1,0,0.772863308,0.227136692
media ntv airing show,0,0,0.902518776,0.097481224
people giving masks tear gas,1,0,0.699530058,0.300469942
people fuck police,0,1,0.636023162,0.363976838
hit nerve akps raison dtre,0,0,0.932720954,0.067279046
would go show wise,0,0,0.932720954,0.067279046
dear united gone crazy police forces trying kill people please help,1,1,0.64990897,0.35009103
hey arrest seems ok attest,0,0,0.932720954,0.067279046
wale ft bad love great,0,0,0.988577833,0.011422167
riot police fire water cannon,1,0,0.834338796,0.165661204
lol steak cheers,0,0,0.938912507,0.061087493
photo god gives tear gas make,0,0,0.778101085,0.221898915
even less iran media hearts would,0,0,0.902518776,0.097481224
loves trust let punk ass fate left,0,0,0.952285737,0.047714263
vote among says,0,0,0.90611842,0.09388158
dozens tear gas fired revamp square,0,0,0.779681843,0.220318157
friday latest photos,0,0,0.95357427,0.04642573
deputy sorry force truth,1,0,0.917262223,0.082737777
police press close parki brutal attack cannot repo,1,1,0.556705186,0.443294814
mon taking stand mon like silent,0,0,0.910473751,0.089526249
gas people homes please help usa,0,1,0.640844696,0.359155304
police work join,0,0,0.772863308,0.227136692
signs use tear dose makes,1,0,0.796350948,0.203649052
