,Unnamed: 0,_unit_id,_golden,_unit_state_x,_trusted_judgments,_last_judgment_at_x,violence_judgment,violence,violence_confidence,protest_judgment_x,protest,protest_confidence,created_at,id,proccd_text,clean_text,non_vio_prob,vio_prob,violence_prediction
0,2,1657977941,False,finalized,3,3/30/2018 15:05:25,000,0.0,1.0,111,1,1.0,Sat Jun 01 07:12:41 +0000 2013,3.40728e+17,rt usrId #occupy #taksim protesters in #istanbul call on #akp govt to httpAddress httpAddress,occupy call akp govt,0.899175877324607,0.10082412267539295,0.0
1,3,1657977942,False,finalized,3,04/06/18 11:49,1,0.0,0.0,10,0,0.6767,Sun Jun 09 14:53:50 +0000 2013,3.43743e+17,rt usrId usrId erdogan says vandals entering mosques with beer bottles and attacking women with headscarves #turkey,erdogan says vandals entering mosques beer bottles attacking women headscarves,0.9779749637399777,0.022025036260022196,0.0
2,5,1657977944,False,finalized,3,04/06/18 14:35,00,0.0,0.659,110,1,0.659,Sat Jun 01 19:58:31 +0000 2013,3.4092e+17,rt usrId protesters set up barricades to halt #turkish cops from marching back to taksim sq . httpAddress hoping people ll httpAddress httpAddress,set barricades halt cops marching back sq hoping people,0.8751819116593904,0.12481808834060938,0.0
3,6,1657977945,False,finalized,3,04/06/18 12:19,,0.0,,0,0,1.0,Mon Jun 03 22:57:24 +0000 2013,3.4169e+17,rt usrId httpAddress httpAddress httpAddress httpAddress httpAddress,,0.9391852429392248,0.060814757060774965,0.0
4,76,1657978031,False,finalized,3,3/30/2018 15:08:49,,0.0,,0,0,1.0,Thu Jun 20 21:27:56 +0000 2013,3.47828e+17,usrId i m more of a turkey httpAddress,,0.9391852429392248,0.060814757060774965,0.0
5,140,1657978102,False,finalized,3,3/30/2018 15:14:33,00,0.0,0.6631,11,1,0.6631,Sat Jun 15 19:03:26 +0000 2013,3.4598e+17,usrId then off to taksim ?,,0.9391852429392248,0.060814757060774965,0.0
6,247,1657978289,False,finalized,3,04/03/18 17:04,,0.0,,0,0,1.0,Thu Jun 13 22:38:41 +0000 2013,3.45309e+17,usrId turkey ? they can t be httpAddress,,0.9391852429392248,0.060814757060774965,0.0
7,302,1657978386,False,finalized,3,04/06/18 15:57,,0.0,,0,0,1.0,Sat Jun 01 06:06:16 +0000 2013,3.40711e+17,rt usrId in turkey httpAddress,,0.9391852429392248,0.060814757060774965,0.0
8,623,1657978954,False,finalized,3,04/03/18 17:29,00,0.0,0.6667,101,1,0.6667,Thu Jun 13 20:20:47 +0000 2013,3.45275e+17,rt usrId taksim now httpAddress,,0.9391852429392248,0.060814757060774965,0.0
9,678,1657979051,False,finalized,3,4/22/2018 18:26:55,,0.0,,0,0,1.0,Fri Jun 07 16:47:12 +0000 2013,3.43046e+17,turkey httpAddress,,0.9391852429392248,0.060814757060774965,0.0
10,716,1657979129,False,finalized,3,04/07/18 15:51,000,0.0,1.0,111,1,1.0,Fri Jun 14 19:21:43 +0000 2013,3.45622e+17,rt usrId 20 30 in the park httpAddress #occupygezi,,0.9391852429392248,0.060814757060774965,0.0
11,899,1657979448,False,finalized,3,04/03/18 22:27,,0.0,,0,0,1.0,Tue Jun 11 19:29:03 +0000 2013,3.44537e+17,usrId are you in istanbul ?,,0.9391852429392248,0.060814757060774965,0.0
12,904,1657979460,False,finalized,3,04/04/18 09:03,0,0.0,0.0,10,0,0.6658,Mon Jun 03 12:24:41 +0000 2013,3.41531e+17,rt usrId turkey now ! httpAddress,,0.9391852429392248,0.060814757060774965,0.0
