,Unnamed: 0,_unit_id,_golden,_unit_state_x,_trusted_judgments,_last_judgment_at_x,violence_judgment,violence,violence_confidence,protest_judgment_x,protest,protest_confidence,created_at,id,proccd_text,clean_text,non_vio_prob,vio_prob,violence_prediction
0,3,1657977942,False,finalized,3,04/06/18 11:49,1,0.0,0.0,10,0,0.6767,Sun Jun 09 14:53:50 +0000 2013,3.43743e+17,rt usrId usrId erdogan says vandals entering mosques with beer bottles and attacking women with headscarves #turkey,erdogan says vandals entering mosques beer bottles attacking women headscarves,0.9202593992055859,0.07974060079441424,0.0
1,5,1657977944,False,finalized,3,04/06/18 14:35,00,0.0,0.659,110,1,0.659,Sat Jun 01 19:58:31 +0000 2013,3.4092e+17,rt usrId protesters set up barricades to halt #turkish cops from marching back to taksim sq . httpAddress hoping people ll httpAddress httpAddress,set barricades halt cops marching back sq hoping people,0.8243710669446168,0.17562893305538313,0.0
2,7,1657977946,False,finalized,3,3/30/2018 15:01:20,00,0.0,0.6515,101,1,0.6515,Mon Jun 03 19:19:02 +0000 2013,3.41635e+17,rt usrId moroccans protesting erdogan s visit #direngeziparki it says no to the criminal s visit to our country httpAddress,moroccans protesting erdogan visit says criminal visit country,0.9433697390738462,0.05663026092615381,0.0
3,9,1657977948,False,finalized,3,3/30/2018 15:31:17,000,0.0,1.0,111,1,1.0,Wed Jun 05 17:39:21 +0000 2013,3.42335e+17,rt usrId investors baffled by turkey protests moneybeat wsj httpAddress via usrId with usrId,investors baffled moneybeat wsj via,0.8923167362700648,0.10768326372993524,0.0
4,10,1657977949,False,finalized,3,3/30/2018 15:02:31,100,0.0,0.6676,111,1,1.0,Fri May 31 21:24:52 +0000 2013,3.4058e+17,rt usrId turkish media ignoring the protests usrId ntv is airing a cooking show no i am not kidding #occupygezi httpAddress,media ignoring ntv airing cooking show kidding,0.8408388457017686,0.15916115429823172,0.0
5,11,1657977950,False,finalized,3,3/30/2018 15:29:27,11,1.0,0.6612,101,1,0.6612,Mon Jun 10 03:49:59 +0000 2013,3.43938e+17,turkey police crush protests in ankara istanbul photos video,police crush ankara photos video,0.8746204622496442,0.12537953775035568,0.0
6,14,1657977954,False,finalized,3,3/30/2018 15:00:58,110,1.0,0.6769,111,1,1.0,Wed Jun 12 23:29:49 +0000 2013,3.4496e+17,rt usrId police detaining protestors in #direnankara httpAddress residents being asked to open httpAddress doors to those needing to hid,police detaining protestors residents asked open doors needing hid,0.8833973176071745,0.11660268239282551,0.0
7,18,1657977959,False,finalized,3,3/30/2018 14:50:39,00,0.0,0.6594,11,1,0.6594,Wed Jun 19 14:10:02 +0000 2013,3.47356e+17,akp genius created standing men standing against standing httpAddress #duranadam,akp genius created standing men standing standing duranadam,0.8758924215832671,0.12410757841673271,0.0
8,19,1657977960,False,finalized,3,3/30/2018 15:00:58,0,0.0,0.0,100,0,0.6496,Sun Jun 02 18:24:59 +0000 2013,3.41259e+17,rt usrId all solidarity with the turkish protesters in #turkey though the turkish regime should learn from its neighbors in mideast,solidarity though regime learn neighbors mideast,0.9031528740635981,0.09684712593640186,0.0
9,23,1657977968,False,finalized,3,3/30/2018 15:21:39,00,0.0,0.672,110,1,0.672,Sun Jun 09 17:49:42 +0000 2013,3.43787e+17,rt usrId hi everyone we re closing down our live blog for httpAddress as a volunteer collective we can t keep up this rate of,hi everyone closing live blog volunteer collective keep rate,0.8539615110352191,0.14603848896478086,0.0
10,24,1657977969,False,finalized,3,04/07/18 08:31,0,0.0,0.0,100,0,0.6767,Tue Jun 18 11:47:49 +0000 2013,3.46957e+17,new form of protest in turkey standing silently httpAddress,new form standing silently,0.7968506377849853,0.20314936221501434,0.0
11,25,1657977970,False,finalized,3,04/05/18 11:50,110,1.0,0.6875,111,1,1.0,Fri May 31 14:35:57 +0000 2013,3.40477e+17,protesters blocking bulldozers tear gassed in istanbul httpAddress #direngezipark,blocking bulldozers tear gassed,0.8919862503620953,0.10801374963790464,0.0
12,26,1657977971,False,finalized,3,3/30/2018 14:53:42,000,0.0,1.0,111,1,1.0,Sat Jun 01 05:59:18 +0000 2013,3.40709e+17,rt usrId washington post a guide to what is happening at gezi park httpAddress,washington post guide happening,0.9382719991118433,0.06172800088815658,0.0
13,29,1657977975,False,finalized,3,3/30/2018 15:28:45,0,0.0,0.0,10,0,0.6676,Mon Jun 17 16:51:46 +0000 2013,3.46672e+17,ifj journalists call for international action to end crackdown on media in turkey httpAddress,ifj journalists call international action end crackdown media,0.7567701002469132,0.2432298997530868,0.0
14,31,1657977978,False,finalized,3,3/30/2018 15:00:58,0,0.0,0.0,100,0,0.6496,Mon Jun 03 21:40:27 +0000 2013,3.41671e+17,rt usrId turkey premier says protests will not stop plans to demolish park httpAddress,premier says stop plans demolish,0.8282188263390531,0.17178117366094717,0.0
15,32,1657977979,False,finalized,3,3/30/2018 15:24:54,00,0.0,0.6622,110,1,0.6622,Wed Jun 12 21:33:22 +0000 2013,3.4493e+17,rt usrId whoever thought of this piano concert is a httpAddress tensions diffused and #taksim back to httpAddress #istanbul httpAddress,whoever thought piano concert tensions diffused back,0.8923167362700648,0.10768326372993524,0.0
16,36,1657977983,False,finalized,3,04/06/18 13:18,1,0.0,0.0,10,0,0.6738,Fri May 31 23:17:31 +0000 2013,3.40608e+17,protests in istanbul turkey photographs of turkish police using tear gas and water cannon to disperse httpAddress httpAddress,photographs police using tear gas water cannon disperse,0.31113296118531264,0.6888670388146875,1.0
17,38,1657977985,False,finalized,3,3/30/2018 15:01:20,000,0.0,1.0,111,1,1.0,Sat Jun 08 05:37:01 +0000 2013,3.4324e+17,rt usrId well this was httpAddress penguins join #occupygezi stencils coming out of gezi are httpAddress httpAddress usrId httpAddress,well penguins join stencils coming,0.932169301054179,0.06783069894582111,0.0
18,41,1657977988,False,finalized,3,3/30/2018 15:05:25,1,0.0,0.0,100,0,0.644,Mon Jun 10 02:06:18 +0000 2013,3.43912e+17,rt usrId in #istanbul reporting for httpAddress activists reporting pressure from police will launch live should anything httpAddress httpAddress,reporting activists reporting pressure police launch live anything,0.7163554430052055,0.28364455699479446,0.0
19,43,1657977991,False,finalized,3,04/06/18 11:43,10,1.0,0.3412,110,1,0.6645,Tue Jun 11 18:30:17 +0000 2013,3.44522e+17,rt usrId i think this is the last pic i managed to httpAddress see gas cloud landing in the middle of crowded httpAddress #occupygezi httpAddress,think last pic managed see gas cloud landing middle crowded,0.7493190947771349,0.25068090522286496,0.0
20,44,1657977993,False,finalized,3,3/30/2018 15:14:33,000,0.0,1.0,111,1,1.0,Mon Jun 03 14:38:11 +0000 2013,3.41564e+17,rt usrId spartacus has arrived gezipark ! httpAddress #occupygezi via usrId,spartacus arrived gezipark via,0.7938261466668172,0.20617385333318258,0.0
21,49,1657977998,False,finalized,3,04/05/18 11:50,01,1.0,0.3125,101,1,0.625,Sun Jun 16 19:34:30 +0000 2013,3.4635e+17,rt usrId #istanbul #protestors holding their ground despite organized #attacks by the #police and #fascist httpAddress no retreating,protestors holding ground despite organized attacks police fascist retreating,0.8872545139927223,0.11274548600727752,0.0
22,56,1657978006,False,finalized,3,3/30/2018 15:04:47,000,0.0,1.0,111,1,1.0,Thu Jun 13 18:53:44 +0000 2013,3.45253e+17,rt usrId #turkey prime minister erdogan to meet protesters at 20 00 gmt over plans to redevelop istanbul s #gezi park httpAddress,prime minister erdogan meet gmt plans redevelop,0.9518387827034094,0.04816121729659054,0.0
23,62,1657978014,False,finalized,3,3/30/2018 15:31:17,000,0.0,1.0,111,1,1.0,Fri May 31 17:38:01 +0000 2013,3.40523e+17,the whole world is watching how peoples of turkey httpAddress government should watch out people now learn to resist ! httpAddress,whole world watching peoples government watch people learn resist,0.9190097450656407,0.08099025493435946,0.0
24,67,1657978019,False,finalized,3,3/30/2018 15:00:58,000,0.0,1.0,111,1,1.0,Mon Jun 03 09:16:42 +0000 2013,3.41484e+17,usrId i m trying D do my best as well tweeting in en about #occupygezi,trying d best well tweeting en,0.8923167362700648,0.10768326372993524,0.0
25,74,1657978028,False,finalized,3,3/30/2018 15:11:00,1,0.0,0.0,10,0,0.6606,Tue Jun 11 14:16:06 +0000 2013,3.44458e+17,rt usrId gallery istanbul clashes intensify httpAddress #turkey,gallery clashes intensify,0.8688715043678619,0.13112849563213816,0.0
26,77,1657978032,False,finalized,3,04/06/18 12:45,100,0.0,0.6648,111,1,1.0,Wed Jun 12 17:19:29 +0000 2013,3.44867e+17,#us coverage on #taksim #democracy #direngeziparki #occupytaksim #occupygezi #istanbul #turkey httpAddress,us coverage democracy occupytaksim,0.8907273687937565,0.10927263120624328,0.0
27,81,1657978036,False,finalized,3,3/30/2018 14:55:59,01,0.0,0.3378,11,1,0.6622,Tue Jun 11 11:11:01 +0000 2013,3.44411e+17,usrId turkey protests riot police storm taksim square httpAddress httpAddress #nbb,riot police storm square nbb,0.7597455304754899,0.24025446952451,0.0
28,84,1657978040,False,finalized,3,3/30/2018 15:26:50,0,0.0,0.0,10,0,0.672,Mon Jun 10 22:32:05 +0000 2013,3.4422e+17,just commented on usrId young urban women the face of turkey amp ,commented young urban women face,0.8923167362700648,0.10768326372993524,0.0
29,85,1657978041,False,finalized,3,3/30/2018 15:21:39,0,0.0,0.0,1,0,0.672,Sun Jun 02 23:28:57 +0000 2013,3.41336e+17,anonymous declares #opturkey attacks govt websites in support of protests rt news httpAddress,anonymous declares opturkey attacks govt websites support news,0.8908801881557523,0.10911981184424767,0.0
30,89,1657978046,False,finalized,3,04/06/18 11:43,00,0.0,0.6767,101,1,0.6767,Sat Jun 08 21:25:49 +0000 2013,3.43479e+17,rt usrId erdogan said youth should not bang on pots amp ,erdogan said youth bang pots,0.9422636595856874,0.05773634041431256,0.0
